WS_code,HUC8,Name
"AA","08080101","Atchafalaya"
"AM","08070202","Amite"
"AR","08040206","Bayou D'Arbonne"
"BF","08050001","Boeuf"
"BK","08040305","Black"
"BL","11140209","Black Lake Bayou"
"BO","11140205","Bodcau Bayou"
"BT","08080102","Bayou Teche"
"BW","08040205","Bayou Bartholemew"
"CA","08040302","Castor"
"CB","11140304","Cross Bayou"
"CC","08090301","East Central Louisiana Coastal"
"CH","03180005","Bogue Chitto"
"CL","11140306","Caddo Lake"
"CO","08040306","Bayou Cocodrie"
"DU","08040303","Dugdemona"
"EC","08090203","Eastern Louisiana Coastal"
"LB","11140203","Loggy Bayou"
"LC","08080206","Lower Calcasieu"
"LF","12010003","Lake Fork"
"LG","08070300","Lower Grand"
"LI","08040304","Little"
"LM","08070204","Lake Maurepas"
"LP","03180004","Lower Pearl"
"LR","08040301","Lower Red"
"LS","12040201","Sabine Lake"
"MA","08050002","Bayou Macon"
"MB","08070100","Lower Mississippi-Baton Rouge"
"ME","08080202","Mermentau"
"MH","08080201","Mermentau Headwaters"
"MN","08060100","Lower Mississippi-Natchez"
"MO","08090100","Lower Mississippi-New Orleans"
"MP","11140201","McKinney-Posten Bayous"
"MR","11140202","Middle Red-Coushatta"
"OL","08040202","Lower Ouachita-Bayou De Loutre"
"OU","08040207","Lower Ouachita"
"PI","11140206","Bayou Pierre"
"RC","11140204","Red Chute"
"RI","11140207","Lower Red-Lake Iatt"
"SB","11140208","Saline Bayou"
"SL","12010005","Lower Sabine"
"SM","12010002","Middle Sabine"
"ST","08070201","Bayou Sara-Thompson"
"SU","12010001","Upper Sabine"
"TA","08070205","Tangipahoa"
"TC","08090201","Liberty Bayou-Tchefuncta"
"TE","08050003","Tensas"
"TI","08070203","Tickfaw"
"TO","12010004","Toledo Bend Reservoir"
"UC","08080203","Upper Calcasieu"
"VE","08080103","Vermilion"
"WC","08090302","West Central Louisiana Coastal"
"WF","08080205","West Fork Calcasieu"
"WH","08080204","Whisky Chitto"
